Date, Open, High, Low, Close
1/27/2023,4053.72,4094.21,4048.7,4070.56
1/26/2023,4036.08,4061.57,4013.29,4060.43
1/25/2023,3982.71,4019.55,3949.06,4016.22
1/24/2023,4001.74,4023.92,3989.79,4016.95
1/23/2023,3978.14,4039.31,3971.64,4019.81
1/20/2023,3909.04,3972.96,3897.86,3972.61
1/19/2023,3911.84,3922.94,3885.54,3898.85
1/18/2023,4002.25,4014.16,3926.59,3928.86
1/17/2023,3999.28,4015.39,3984.57,3990.97
1/13/2023,3960.32,4003.95,3947.67,3999.09
1/12/2023,3977.57,3997.76,3937.56,3983.17
1/11/2023,3932.35,3970.07,3928.54,3969.61
1/10/2023,3888.57,3919.83,3877.29,3919.25
1/9/2023,3910.82,3950.57,3890.42,3892.09
1/6/2023,3823.37,3906.19,3809.56,3895.08
1/5/2023,3839.74,3839.74,3802.42,3808.1
1/4/2023,3840.36,3873.16,3815.77,3852.97
1/3/2023,3853.29,3878.46,3794.33,3824.14
12/30/2022,3828.85,3839.85,3800.34,3839.5
12/29/2022,3805.45,3858.19,3805.45,3849.28
12/28/2022,3829.56,3848.32,3780.78,3783.22
12/27/2022,3843.34,3846.65,3813.22,3829.25
12/23/2022,3813.11,3845.8,3797.01,3844.82
12/22/2022,3853.26,3853.26,3764.49,3822.39
12/21/2022,3839.49,3889.82,3839.49,3878.44
12/20/2022,3810.47,3838.24,3795.62,3821.62
12/19/2022,3853.79,3854.86,3800.04,3817.66
12/16/2022,3890.91,3890.91,3827.91,3852.36
12/15/2022,3958.37,3958.37,3879.45,3895.75
12/14/2022,4015.54,4053.76,3965.65,3995.32
12/13/2022,4069.38,4100.96,3993.03,4019.65
12/12/2022,3939.29,3990.71,3935.3,3990.56
12/9/2022,3954.17,3977.02,3933.04,3934.38
12/8/2022,3947.79,3974.19,3935.83,3963.51
12/7/2022,3933.28,3957.57,3922.68,3933.92
12/6/2022,3996.63,4001.51,3918.39,3941.26
12/5/2022,4052.02,4052.45,3984.49,3998.84
12/2/2022,4040.17,4080.48,4026.63,4071.7
12/1/2022,4087.14,4100.51,4050.87,4076.57
11/30/2022,3957.18,4080.11,3938.58,4080.11
11/29/2022,3964.19,3976.77,3937.65,3957.63
11/28/2022,4005.36,4012.27,3955.77,3963.94
11/25/2022,4023.34,4034.02,4020.76,4026.12
11/23/2022,4001.02,4033.78,3998.66,4027.26
11/22/2022,3965.51,4005.88,3956.88,4003.58
11/21/2022,3956.23,3962,3933.34,3949.94
11/18/2022,3966.39,3979.89,3935.98,3965.34
11/17/2022,3919.26,3954.33,3906.54,3946.56
11/16/2022,3976.82,3983.09,3954.34,3958.79
11/15/2022,4006.41,4028.84,3953.17,3991.73
11/14/2022,3977.97,4008.97,3956.4,3957.25
11/11/2022,3963.72,4001.48,3944.82,3992.93
11/10/2022,3859.89,3958.33,3859.89,3956.37
11/9/2022,3810.94,3818.2,3744.22,3748.57
11/8/2022,3817.02,3859.4,3786.28,3828.11
11/7/2022,3780.71,3813.95,3764.7,3806.8
11/4/2022,3766.98,3796.34,3708.84,3770.55
11/3/2022,3733.25,3750.59,3698.15,3719.89
11/2/2022,3852.9,3894.44,3758.68,3759.69
11/1/2022,3901.79,3911.79,3843.8,3856.1
10/31/2022,3881.85,3893.73,3863.18,3871.98
10/28/2022,3808.26,3905.42,3808.26,3901.06
10/27/2022,3834.69,3859.95,3803.79,3807.3
10/26/2022,3825.97,3886.15,3824.07,3830.6
10/25/2022,3799.44,3862.85,3799.44,3859.11
10/24/2022,3762.01,3810.74,3741.65,3797.34
10/21/2022,3657.1,3757.89,3647.42,3752.75
10/20/2022,3689.05,3736,3656.44,3665.78
10/19/2022,3703.11,3728.58,3666.51,3695.16
10/18/2022,3746.26,3762.79,3686.53,3719.98
10/17/2022,3638.65,3689.73,3638.65,3677.95
10/14/2022,3690.41,3712,3579.68,3583.07
10/13/2022,3520.37,3685.41,3491.58,3669.91
10/12/2022,3590.83,3608.34,3573.86,3577.03
10/11/2022,3595.86,3640.66,3568.45,3588.84
10/10/2022,3647.51,3652.17,3588.1,3612.39
10/7/2022,3706.74,3706.74,3620.73,3639.66
10/6/2022,3771.97,3797.93,3739.22,3744.52
10/5/2022,3753.25,3806.91,3722.66,3783.28
10/4/2022,3726.46,3791.92,3726.46,3790.93
10/3/2022,3609.78,3698.35,3604.93,3678.43
9/30/2022,3633.48,3671.44,3584.13,3585.62
9/29/2022,3687.01,3687.01,3610.4,3640.47
9/28/2022,3651.94,3736.74,3640.61,3719.04
9/27/2022,3686.44,3717.53,3623.29,3647.29
9/26/2022,3682.72,3715.67,3644.76,3655.04
9/23/2022,3727.14,3727.14,3647.47,3693.23
9/22/2022,3782.36,3790.9,3749.45,3757.99
9/21/2022,3871.4,3907.07,3789.49,3789.93
9/20/2022,3875.23,3876.01,3827.54,3855.93
9/19/2022,3849.91,3900.45,3838.5,3899.89
9/16/2022,3880.95,3880.95,3837.08,3873.33
9/15/2022,3932.41,3959.14,3888.28,3901.35
9/14/2022,3940.73,3961.94,3912.18,3946.01
9/13/2022,4037.12,4037.12,3921.28,3932.69
9/12/2022,4083.67,4119.28,4083.67,4110.41
9/9/2022,4022.94,4076.81,4022.94,4067.36
9/8/2022,3959.94,4010.5,3944.81,4006.18
9/7/2022,3909.43,3987.89,3906.03,3979.87
9/6/2022,3930.89,3942.55,3886.75,3908.19
9/2/2022,3996.39,4018.43,3906.21,3924.26
9/1/2022,3936.73,3970.23,3903.65,3966.85
8/31/2022,4000.67,4015.37,3954.53,3955
8/30/2022,4041.25,4044.98,3965.21,3986.16
8/29/2022,4034.58,4062.99,4017.42,4030.61
8/26/2022,4198.74,4203.04,4057.66,4057.66
8/25/2022,4153.26,4200.54,4147.59,4199.12
8/24/2022,4126.55,4156.56,4119.97,4140.77
8/23/2022,4133.09,4159.77,4124.03,4128.73
8/22/2022,4195.08,4195.08,4129.86,4137.99
8/19/2022,4266.31,4266.31,4218.7,4228.48
8/18/2022,4273.13,4292.53,4261.98,4283.74
8/17/2022,4280.4,4302.18,4253.08,4274.04
8/16/2022,4290.46,4325.28,4277.77,4305.2
8/15/2022,4269.37,4301.79,4256.9,4297.14
8/12/2022,4225.02,4280.47,4219.78,4280.15
8/11/2022,4227.4,4257.91,4201.41,4207.27
8/10/2022,4181.02,4211.03,4177.26,4210.24
8/9/2022,4133.11,4137.3,4112.09,4122.47
8/8/2022,4155.93,4186.62,4128.97,4140.06
8/5/2022,4115.87,4151.58,4107.31,4145.19
8/4/2022,4154.85,4161.29,4135.42,4151.94
8/3/2022,4107.96,4167.66,4107.96,4155.17
8/2/2022,4104.21,4140.47,4079.81,4091.19
8/1/2022,4112.38,4144.95,4096.02,4118.63
7/29/2022,4087.33,4140.15,4079.22,4130.29
7/28/2022,4026.13,4078.95,3992.97,4072.43
7/27/2022,3951.43,4039.56,3951.43,4023.61
7/26/2022,3953.22,3953.22,3910.74,3921.05
